first_move,depth,heuristic_1,first_points,heuristic_2,second_points
1,2,Steal,12,Steal,36
6,2,Steal,16,Steal,32
1,2,Steal,13,Most,35
1,2,Steal,13,Most,35
6,2,Steal,9,Points,39
1,2,Steal,11,Points,37
5,2,Steal,38,Far,10
3,2,Steal,28,Far,20
4,2,Most,38,Steal,10
5,2,Most,38,Steal,10
3,2,Most,25,Most,23
6,2,Most,35,Most,13
2,2,Most,14,Points,34
3,2,Most,22,Points,26
5,2,Most,28,Far,20
5,2,Most,28,Far,20
3,2,Points,38,Steal,10
3,2,Points,38,Steal,10
2,2,Points,34,Most,14
6,2,Points,31,Most,17
2,2,Points,20,Points,28
1,2,Points,19,Points,29
2,2,Points,36,Far,12
1,2,Points,34,Far,14
3,2,Far,29,Steal,19
1,2,Far,12,Steal,36
4,2,Far,12,Most,36
1,2,Far,9,Most,39
5,2,Far,13,Points,35
6,2,Far,15,Points,33
4,2,Far,19,Far,29
1,2,Far,26,Far,22
1,3,Steal,12,Steal,36
1,3,Steal,12,Steal,36
6,3,Steal,39,Most,9
4,3,Steal,19,Most,29
5,3,Steal,13,Points,35
1,3,Steal,5,Points,43
3,3,Steal,25,Far,23
1,3,Steal,24,Far,24
2,3,Most,38,Steal,10
4,3,Most,42,Steal,6
6,3,Most,27,Most,21
2,3,Most,22,Most,26
5,3,Most,16,Points,32
1,3,Most,19,Points,29
3,3,Most,36,Far,12
6,3,Most,38,Far,10
4,3,Points,42,Steal,6
2,3,Points,42,Steal,6
6,3,Points,29,Most,19
4,3,Points,10,Most,38
5,3,Points,13,Points,35
4,3,Points,15,Points,33
2,3,Points,43,Far,5
4,3,Points,32,Far,16
5,3,Far,11,Steal,37
6,3,Far,22,Steal,26
4,3,Far,9,Most,39
5,3,Far,15,Most,33
2,3,Far,11,Points,37
4,3,Far,10,Points,38
1,3,Far,24,Far,24
3,3,Far,26,Far,22
6,4,Steal,34,Steal,14
3,4,Steal,44,Steal,4
1,4,Steal,5,Most,43
1,4,Steal,5,Most,43
5,4,Steal,13,Points,35
6,4,Steal,23,Points,25
5,4,Steal,35,Far,13
3,4,Steal,26,Far,22
6,4,Most,31,Steal,17
4,4,Most,42,Steal,6
2,4,Most,22,Most,26
1,4,Most,15,Most,33
2,4,Most,12,Points,36
5,4,Most,14,Points,34
6,4,Most,36,Far,12
5,4,Most,36,Far,12
5,4,Points,28,Steal,20
4,4,Points,42,Steal,6
1,4,Points,28,Most,20
5,4,Points,26,Most,22
4,4,Points,16,Points,32
3,4,Points,32,Points,16
3,4,Points,36,Far,12
6,4,Points,42,Far,6
5,4,Far,24,Steal,24
4,4,Far,17,Steal,31
3,4,Far,25,Most,23
6,4,Far,12,Most,36
2,4,Far,10,Points,38
1,4,Far,6,Points,42
4,4,Far,26,Far,22
4,4,Far,26,Far,22
